epoch,hp_metric,loss,step,val_loss
,5.455873966217041,,0,
0,,-0.1147448718547821,49,
0,,-0.5012418627738953,99,
0,,-0.029871374368667603,149,
0,,-1.7995046377182007,199,
0,,0.05411902070045471,249,
0,,0.13193094730377197,299,
0,,0.7044501900672913,349,
0,,-0.12095983326435089,399,
0,,-0.2607182562351227,449,
0,,-1.11575448513031,499,
,-0.5266003012657166,,544,
0,,,543,-0.5266003012657166
1,,-0.04675304889678955,549,
1,,-1.1002875566482544,599,
1,,-1.3972370624542236,649,
1,,-0.08905546367168427,699,
1,,-0.9721794724464417,749,
1,,-0.8490815758705139,799,
1,,-1.5155360698699951,849,
1,,-1.7466936111450195,899,
1,,-1.7180311679840088,949,
1,,-0.8028036952018738,999,
1,,-0.861578106880188,1049,
,-0.9793132543563843,,1088,
1,,,1087,-0.9793132543563843
2,,-1.5041662454605103,1099,
2,,-0.7281821966171265,1149,
2,,0.23255884647369385,1199,
2,,9.943537712097168,1249,
2,,-0.8028470277786255,1299,
2,,-1.1026278734207153,1349,
2,,-0.3924109935760498,1399,
2,,-0.7723388671875,1449,
2,,-1.968938946723938,1499,
2,,-0.8753707408905029,1549,
2,,-0.6872192621231079,1599,
,-1.1405730247497559,,1632,
2,,,1631,-1.1405730247497559
3,,-0.13475777208805084,1649,
3,,-0.8027032613754272,1699,
3,,-1.3283805847167969,1749,
3,,-1.281955599784851,1799,
3,,-0.7432094812393188,1849,
3,,-1.8722865581512451,1899,
3,,-1.6569366455078125,1949,
3,,-0.971878170967102,1999,
3,,-1.498840093612671,2049,
3,,-2.6343421936035156,2099,
3,,-1.4581868648529053,2149,
,-1.2935765981674194,,2176,
3,,,2175,-1.2935765981674194
4,,-1.9116090536117554,2199,
4,,-1.7661375999450684,2249,
4,,-0.7990903854370117,2299,
4,,-1.2586569786071777,2349,
4,,-0.0042261481285095215,2399,
4,,-0.10235899686813354,2449,
4,,-1.7828798294067383,2499,
4,,-1.2021442651748657,2549,
4,,-1.3569594621658325,2599,
4,,-2.289700508117676,2649,
4,,-0.8110049962997437,2699,
,-1.446480393409729,,2720,
4,,,2719,-1.446480393409729
5,,-1.90848708152771,2749,
5,,-0.09886214137077332,2799,
5,,-2.3169846534729004,2849,
5,,-1.0055025815963745,2899,
5,,-2.346956968307495,2949,
5,,-1.3067710399627686,2999,
5,,-0.905634343624115,3049,
5,,-1.7440977096557617,3099,
5,,-1.0776687860488892,3149,
5,,-1.0505564212799072,3199,
5,,-0.927007257938385,3249,
,-1.512726902961731,,3264,
5,,,3263,-1.512726902961731
6,,-1.7556291818618774,3299,
6,,-1.927299976348877,3349,
6,,0.1890231966972351,3399,
6,,-0.7450469732284546,3449,
6,,-1.675762414932251,3499,
6,,0.18593952059745789,3549,
6,,-2.473397970199585,3599,
6,,-1.6791746616363525,3649,
6,,-1.7135107517242432,3699,
6,,-1.6527674198150635,3749,
6,,-1.7715206146240234,3799,
,-1.2298823595046997,,3808,
6,,,3807,-1.2298823595046997
7,,0.09075087308883667,3849,
7,,-1.6495803594589233,3899,
7,,-0.4254063367843628,3949,
7,,0.08492296934127808,3999,
7,,-2.594419479370117,4049,
7,,-1.5542949438095093,4099,
7,,-1.184987187385559,4149,
7,,-0.8628519773483276,4199,
7,,-1.0266149044036865,4249,
7,,-2.0861315727233887,4299,
7,,-0.44335055351257324,4349,
,-1.574137568473816,,4352,
7,,,4351,-1.574137568473816
8,,-0.01748231053352356,4399,
8,,-1.1645724773406982,4449,
8,,-1.5986939668655396,4499,
8,,-1.6744028329849243,4549,
8,,-2.125687599182129,4599,
8,,-2.4950356483459473,4649,
8,,-1.5832263231277466,4699,
8,,-1.2534635066986084,4749,
8,,-0.9089859127998352,4799,
8,,-1.4808058738708496,4849,
,-1.5558627843856812,,4896,
8,,,4895,-1.5558627843856812
9,,-1.3920468091964722,4899,
9,,-1.4242339134216309,4949,
9,,-0.9671838879585266,4999,
9,,0.07241931557655334,5049,
9,,-0.33139634132385254,5099,
9,,-1.4943268299102783,5149,
9,,-1.4145822525024414,5199,
9,,-1.2223634719848633,5249,
9,,-2.534782648086548,5299,
9,,0.726394772529602,5349,
9,,-1.6744295358657837,5399,
,-1.5471723079681396,,5440,
9,,,5439,-1.5471723079681396
10,,-0.3988693952560425,5449,
10,,-1.5037463903427124,5499,
10,,-1.5068814754486084,5549,
10,,-0.28018268942832947,5599,
