scene,song,listener,left_haaqi,right_haaqi,avg_haaqi
S62001,17_Nocturne_vn_fl_cl_0001,L6201,0.29351340213070487,0.30547835854947164,0.2994958803400882
S62004,17_Nocturne_vn_fl_cl_0001,L6229,0.3429802083036738,0.3787850019817077,0.36088260514269077
S62007,17_Nocturne_vn_fl_cl_0002,L6251,nan,nan,nan
S62011,17_Nocturne_vn_fl_cl_0003,L6233,0.13457804841049803,0.13008913242734182,0.13233359041891993
S62014,17_Nocturne_vn_fl_cl_0004,L6249,0.11916259473312935,0.1204191067777619,0.11979085075544563
S62018,17_Nocturne_vn_fl_cl_0005,L6228,0.15588950924001427,0.15948599446871348,0.15768775185436387
S62021,17_Nocturne_vn_fl_cl_0006,L6246,0.14727958585287396,0.1502181190781232,0.14874885246549857
S62025,44_K515_vn_vn_va_va_vc_0001,L6216,0.45798682414137837,0.4892357942584963,0.4736113091999373
S62028,44_K515_vn_vn_va_va_vc_0001,L6245,0.39576789600881024,0.42727360240538237,0.4115207492070963
S62032,44_K515_vn_vn_va_va_vc_0002,L6215,0.15377572868560618,0.14953782665820559,0.15165677767190588
S62035,44_K515_vn_vn_va_va_vc_0003,L6245,0.1703596809262384,0.17518839362641875,0.17277403727632856
S62039,44_K515_vn_vn_va_va_vc_0004,L6208,0.1573525095008468,0.17006595084073434,0.1637092301707906
S62042,44_K515_vn_vn_va_va_vc_0005,L6239,0.1586103651166002,0.17734329046102867,0.16797682778881445
S62046,44_K515_vn_vn_va_va_vc_0006,L6214,0.1465592802781883,0.11660831855819685,0.13158379941819257
S62049,44_K515_vn_vn_va_va_vc_0007,L6229,0.1611049941431165,0.14760540849035722,0.15435520131673686
S62053,44_K515_vn_vn_va_va_vc_0008,L6209,0.15792856648500836,0.16629700548697357,0.16211278598599096
S62056,44_K515_vn_vn_va_va_vc_0008,L6230,0.15120250666240995,0.13621460785728318,0.14370855725984655
S62060,44_K515_vn_vn_va_va_vc_0009,L6207,0.11773176433830675,0.11695559462601576,0.11734367948216126
S62063,44_K515_vn_vn_va_va_vc_0010,L6229,0.15055909308959495,0.1614588086412992,0.15600895086544708
S62067,44_K515_vn_vn_va_va_vc_0011,L6205,0.1218113916339289,0.14824266547810833,0.1350270285560186
S62070,44_K515_vn_vn_va_va_vc_0012,L6232,0.14393993954376885,0.1800272918752396,0.16198361570950423
S62074,44_K515_vn_vn_va_va_vc_0013,L6203,0.1650491880772925,0.16971760481109657,0.16738339644419453
S62077,44_K515_vn_vn_va_va_vc_0014,L6222,0.1489048483994602,0.1428737257441677,0.14588928707181395
S62080,44_K515_vn_vn_va_va_vc_0014,L6251,nan,nan,nan
S62084,44_K515_vn_vn_va_va_vc_0015,L6227,0.14644216746316713,0.1491448862418892,0.14779352685252817
S62087,25_Pirates_vn_vn_va_sax_0001,L6249,0.2665628639310765,0.28709084347986846,0.27682685370547244
S62091,25_Pirates_vn_vn_va_sax_0002,L6218,0.1461165143972338,0.1537353969306589,0.14992595566394634
S62094,25_Pirates_vn_vn_va_sax_0003,L6248,0.16225536165901716,0.16591377405738578,0.16408456785820147
S62098,02_Sonata_vn_vn_0001,L6220,0.16294934358987367,0.17770646970232687,0.17032790664610026
