scene,song,listener,left_haaqi,right_haaqi,avg_haaqi
S62001,17_Nocturne_vn_fl_cl_0001,L6201,0.2687630144149115,0.31348924440987247,0.291126129412392
S62004,17_Nocturne_vn_fl_cl_0001,L6229,0.3064581233017397,0.3266988646925689,0.3165784939971543
S62007,17_Nocturne_vn_fl_cl_0002,L6251,nan,nan,nan
S62011,17_Nocturne_vn_fl_cl_0003,L6233,0.13065074794543263,0.12069343004246984,0.12567208899395124
S62014,17_Nocturne_vn_fl_cl_0004,L6249,0.15473222292912645,0.1700548177958508,0.1623935203624886
S62018,17_Nocturne_vn_fl_cl_0005,L6228,0.17098066941866974,0.1751549379740866,0.17306780369637817
S62021,17_Nocturne_vn_fl_cl_0006,L6246,0.17831685591050703,0.18244915618830376,0.18038300604940538
S62025,44_K515_vn_vn_va_va_vc_0001,L6216,0.4377493432619775,0.4449160883992326,0.44133271583060507
S62028,44_K515_vn_vn_va_va_vc_0001,L6245,0.3320335183095906,0.3447494076569151,0.33839146298325284
S62032,44_K515_vn_vn_va_va_vc_0002,L6215,0.1848317898250369,0.1897672955537224,0.18729954268937965
S62035,44_K515_vn_vn_va_va_vc_0003,L6245,0.1464497733919436,0.14975289425819716,0.14810133382507037
S62039,44_K515_vn_vn_va_va_vc_0004,L6208,0.13512840878747004,0.1533423283558885,0.1442353685716793
S62042,44_K515_vn_vn_va_va_vc_0005,L6239,0.1325673496463893,0.14988307535802536,0.14122521250220732
S62046,44_K515_vn_vn_va_va_vc_0006,L6214,0.14788373698717833,0.1512347497548371,0.14955924337100773
S62049,44_K515_vn_vn_va_va_vc_0007,L6229,0.15512103896966853,0.16647067741785795,0.16079585819376324
S62053,44_K515_vn_vn_va_va_vc_0008,L6209,0.158551858516925,0.15409703885160547,0.15632444868426523
S62056,44_K515_vn_vn_va_va_vc_0008,L6230,0.11646501913180715,0.11104905772131293,0.11375703842656004
S62060,44_K515_vn_vn_va_va_vc_0009,L6207,0.13367416084984476,0.14292548556978488,0.13829982320981482
S62063,44_K515_vn_vn_va_va_vc_0010,L6229,0.14623388047089317,0.17496505781607558,0.16059946914348439
S62067,44_K515_vn_vn_va_va_vc_0011,L6205,0.14479526680111438,0.1402376717466,0.1425164692738572
S62070,44_K515_vn_vn_va_va_vc_0012,L6232,0.15418183885069267,0.16286175410081521,0.15852179647575393
S62074,44_K515_vn_vn_va_va_vc_0013,L6203,0.13225745440392095,0.11211891126832271,0.12218818283612183
S62077,44_K515_vn_vn_va_va_vc_0014,L6222,0.14448965110061446,0.14097071744359124,0.14273018427210285
S62080,44_K515_vn_vn_va_va_vc_0014,L6251,nan,nan,nan
S62084,44_K515_vn_vn_va_va_vc_0015,L6227,0.1395236013536547,0.1315730634141301,0.1355483323838924
S62087,25_Pirates_vn_vn_va_sax_0001,L6249,0.2876848696865841,0.2937942696190694,0.29073956965282677
S62091,25_Pirates_vn_vn_va_sax_0002,L6218,0.15476539568034509,0.1504993730941839,0.1526323843872645
S62094,25_Pirates_vn_vn_va_sax_0003,L6248,0.16724770306148035,0.16833988130266708,0.16779379218207371
S62098,02_Sonata_vn_vn_0001,L6220,0.25343015050514633,0.2629239171708701,0.2581770338380082
S62101,02_Sonata_vn_vn_0002,L6243,0.17005406905509995,0.15231016416637447,0.16118211661073722
S62105,02_Sonata_vn_vn_0003,L6221,0.1672445193896221,0.1463059772851657,0.1567752483373939
S62108,02_Sonata_vn_vn_0003,L6237,0.19643728971113503,0.17672863661777255,0.18658296316445377
S62112,26_King_vn_vn_va_vc_0001,L6215,0.480794970762382,0.4240187053951041,0.45240683807874305
S62115,26_King_vn_vn_va_vc_0002,L6235,0.15826125080995335,0.1603577337609207,0.159309492285437
S62119,26_King_vn_vn_va_vc_0003,L6213,0.1418180236236088,0.1494421031795118,0.1456300634015603
S62122,26_King_vn_vn_va_vc_0004,L6234,0.15011173149837131,0.15615521977082392,0.15313347563459762
S62126,26_King_vn_vn_va_vc_0005,L6212,0.14796487815433004,0.15807409805337697,0.15301948810385352
S62129,27_King_vn_vn_va_sax_0001,L6230,0.38417278564580915,0.31891449796685095,0.35154364180633
S62133,27_King_vn_vn_va_sax_0002,L6204,0.12939872755780707,0.13592631170291336,0.13266251963036021
S62136,27_King_vn_vn_va_sax_0002,L6241,0.1528458936003303,0.13526724125835443,0.14405656742934236
S62140,27_King_vn_vn_va_sax_0003,L6212,0.17236633307420635,0.17495956366550677,0.17366294836985657
S62143,27_King_vn_vn_va_sax_0004,L6229,0.15457303163220776,0.16127565614512793,0.15792434388866783
S62147,27_King_vn_vn_va_sax_0005,L6204,0.09529099808492256,0.10192225166704158,0.09860662487598207
S62150,11_Maria_ob_vc_0001,L6220,0.6553280159803013,0.652864652775192,0.6540963343777466
S62153,11_Maria_ob_vc_0002,L6251,nan,nan,nan
S62157,11_Maria_ob_vc_0003,L6225,0.15823914031635572,0.1433252059009581,0.1507821731086569
S62160,11_Maria_ob_vc_0003,L6245,0.1346409241863198,0.13700370225169942,0.13582231321900962
S62164,11_Maria_ob_vc_0004,L6224,0.11605005033714426,0.10687406709164654,0.1114620587143954
S62167,11_Maria_ob_vc_0005,L6243,0.13647267229673485,0.13788890393003075,0.1371807881133828
S62171,11_Maria_ob_vc_0006,L6215,0.15642489746962998,0.15492906784525173,0.15567698265744084
S62174,40_Miserere_fl_fl_ob_cl_bn_0001,L6241,0.19882056256501796,0.1578913928761951,0.17835597772060652
S62178,40_Miserere_fl_fl_ob_cl_bn_0002,L6215,0.15335836927177104,0.15187709703685545,0.15261773315431326
S62181,41_Miserere_fl_fl_ob_sax_bn_0001,L6237,0.23584595597055502,0.21626896974015553,0.22605746285535527
S62185,41_Miserere_fl_fl_ob_sax_bn_0002,L6213,0.142882091458729,0.13497252687330372,0.13892730916601637
S62188,41_Miserere_fl_fl_ob_sax_bn_0002,L6240,0.14298019830125305,0.15182234119142485,0.14740126974633894
S62192,04_Allegro_fl_fl_0001,L6215,0.33135077506915644,0.3558965367416962,0.3436236559054263
S62195,04_Allegro_fl_fl_0002,L6235,0.16533203195943882,0.16501670521936485,0.16517436858940182
S62199,04_Allegro_fl_fl_0003,L6216,0.12900884349352673,0.13891025663963116,0.13395955006657895
S62202,04_Allegro_fl_fl_0004,L6236,0.12575929851350875,0.1424039478781239,0.13408162319581635
S62206,04_Allegro_fl_fl_0005,L6205,0.11605420020672919,0.12489635456331488,0.12047527738502203
S62209,04_Allegro_fl_fl_0006,L6235,0.13438601142916584,0.13443241233094977,0.1344092118800578
S62213,04_Allegro_fl_fl_0007,L6206,0.17227881593490596,0.1645478868748736,0.16841335140488978
S62216,04_Allegro_fl_fl_0007,L6234,0.14557085028166436,0.15192140451635947,0.1487461273990119
S62220,04_Allegro_fl_fl_0008,L6201,0.11857755780457149,0.15390486898847633,0.1362412133965239
S62223,04_Allegro_fl_fl_0009,L6229,0.147524281982308,0.14739767412722465,0.14746097805476632
S62226,04_Allegro_fl_fl_0010,L6251,nan,nan,nan
S62230,03_Dance_fl_cl_0001,L6224,0.5171411507741803,0.5701514217460265,0.5436462862601035
S62233,03_Dance_fl_cl_0002,L6250,0.1674640082211214,0.13316761793690046,0.15031581307901093
S62237,03_Dance_fl_cl_0003,L6223,0.1348651226526854,0.11877842864112026,0.12682177564690283
S62240,03_Dance_fl_cl_0003,L6244,0.11414263448585865,0.11133360418387611,0.11273811933486738
S62244,03_Dance_fl_cl_0004,L6220,0.09542174258283956,0.0943851472571917,0.09490344492001562
S62247,03_Dance_fl_cl_0005,L6247,0.13216923185109683,0.12804608212646168,0.13010765698877924
S62251,03_Dance_fl_cl_0006,L6217,0.13193247534111366,0.13029785303213465,0.13111516418662417
S62254,14_Waltz_fl_fl_cl_0001,L6242,0.18710138816498542,0.2132436552914153,0.20017252172820038
S62258,14_Waltz_fl_fl_cl_0002,L6218,0.15391801959703283,0.15785217997638526,0.15588509978670906
S62261,14_Waltz_fl_fl_cl_0003,L6240,0.13608659527536526,0.12709814829377783,0.13159237178457156
S62265,14_Waltz_fl_fl_cl_0004,L6208,0.12938351365010897,0.15097847013213114,0.14018099189112004
S62268,14_Waltz_fl_fl_cl_0004,L6240,0.12192244451612777,0.12792302064028474,0.12492273257820626
S62272,14_Waltz_fl_fl_cl_0005,L6209,0.17968664955788008,0.17193464339464076,0.17581064647626043
S62275,14_Waltz_fl_fl_cl_0006,L6232,0.14529989612181562,0.1585661099304862,0.15193300302615093
S62279,06_Entertainer_sax_sax_0001,L6211,0.32993806883927385,0.5424488509262618,0.4361934598827678
S62282,06_Entertainer_sax_sax_0002,L6236,0.1833467327603565,0.18647208159727452,0.18490940717881552
S62286,06_Entertainer_sax_sax_0003,L6203,0.16071287440450674,0.14737064610595585,0.1540417602552313
S62289,06_Entertainer_sax_sax_0004,L6237,0.156512533607449,0.17216940368662,0.1643409686470345
S62293,06_Entertainer_sax_sax_0005,L6204,0.15053705492714414,0.15334979726819062,0.15194342609766737
S62296,06_Entertainer_sax_sax_0005,L6228,0.1598652452577241,0.16071457186385305,0.16028990856078856
S62299,02-AchLiebenChristen_0001,L6251,nan,nan,nan
S62303,02-AchLiebenChristen_0002,L6225,0.16313245493518896,0.16778427650250913,0.16545836571884903
S62306,08-FuerDeinenThron_0001,L6249,0.282354336121899,0.31233555923936074,0.29734494768062986
S62310,08-FuerDeinenThron_0002,L6228,0.1744139907465146,0.17710440929266794,0.17575920001959128
S62313,01-AchGottundHerr_0001,L6247,0.27594130077777,0.26372945678932014,0.2698353787835451
S62317,10-NunBitten_0001,L6215,0.24405243377987146,0.23614783663559202,0.24010013520773174
S62320,10-NunBitten_0001,L6241,0.27385298239589345,0.22205217489890705,0.24795257864740025
S62324,10-NunBitten_0002,L6219,0.15490549772240733,0.11601261788064998,0.13545905780152867
S62327,05-DieNacht_0001,L6243,0.21924110147755702,0.22042538833910266,0.21983324490832984
S62331,05-DieNacht_0002,L6218,0.1768428055088661,0.17465794171112142,0.17575037360999377
S62334,07-HerrGott_0001,L6240,0.29600748156137524,0.24483264857861037,0.27042006506999283
S62338,07-HerrGott_0002,L6213,0.16635153973380326,0.16669146690132808,0.16652150331756566
S62341,03-ChristederdubistTagundLicht_0001,L6233,0.269912654245615,0.23276126008975684,0.2513369571676859
S62345,09-Jesus_0001,L6209,0.27047985185466844,0.291174187269277,0.28082701956197276
S62348,09-Jesus_0001,L6237,0.29005825047649514,0.2651151868928237,0.27758671868465945
